UID          PID    PPID  C STIME TTY          TIME CMD
alexand+    1668    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
alexand+    1669    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-sharing
alexand+    1670    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-smartcard
alexand+    1674    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-sound
alexand+    1675    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-wacom
alexand+    1718    1648  0 17:10 ?        00:00:00 /usr/libexec/ibus-dconf
alexand+    1719    1648  0 17:10 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
alexand+    1724    1461  0 17:10 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
alexand+    1725    1461  0 17:10 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
alexand+    1728    1334  0 17:10 ?        00:00:00 /usr/libexec/ibus-portal
alexand+    1768    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-printer
alexand+    1860    1334  0 17:10 ?        00:00:00 /usr/libexec/xdg-desktop-portal
alexand+    1866    1334  0 17:10 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
alexand+    1876    1648  0 17:10 ?        00:00:01 /usr/libexec/ibus-engine-simple
alexand+    1891    1334  0 17:10 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
alexand+    1902    1334  0 17:10 ?        00:00:03 /usr/libexec/gnome-initial-setup --existing-user
alexand+    1903    1334  0 17:10 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
alexand+    1918    1334  0 17:10 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
alexand+    1972    1483  0 17:10 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.IBRP71 -listen 4 -listen 5 -displayfd 6 -initfd 7
alexand+    1983    1334  0 17:10 ?        00:00:00 /usr/libexec/gsd-xsettings
alexand+    2006    1334  0 17:10 ?        00:00:00 /usr/libexec/ibus-x11
alexand+    2010    1334  0 17:10 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2025       1  0 17:10 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
alexand+    2066    1334  0 17:10 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
alexand+    2068    2066  0 17:10 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
alexand+    2073    1334  0 17:10 ?        00:00:09 /usr/libexec/gnome-terminal-server
alexand+    2091    2073  0 17:10 pts/0    00:00:00 bash
alexand+    2334    1461  0 17:11 ?        00:00:00 update-notifier
root        2555       1  1 17:14 ?        00:00:51 /usr/lib/snapd/snapd
alexand+    3373    1334  0 17:16 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
alexand+    3530    3373  0 17:16 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
root        3998       2  0 17:48 ?        00:00:00 [kworker/u2:3-events_power_efficient]
alexand+    4048    1483  0 18:05 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        4193       2  0 18:08 ?        00:00:00 [kworker/u2:2-events_power_efficient]
root        4424       2  0 18:14 ?        00:00:00 [kworker/u2:0-flush-8:0]
root        4428       2  0 18:17 ?        00:00:00 [kworker/u2:1-events_power_efficient]
alexand+    4658    2091  0 18:19 pts/0    00:00:00 ps -ef
